SRM;DEPT;secteur;localite_colonie;sous_unite
GdG-N;29;AVEN ET BELON;QUIMPERLE;Colonie urbaine
GdG-N;29;BAIE DE LA FORET;concarneau;Colonie urbaine
GdG-N;29;BAIE DE LA FORET;TREGUNC;Colonie urbaine
GdG-N;29;COTES BIGOUDENN;guilvinec;Colonie urbaine
GdG-N;29;COTES BIGOUDENN;LOCTUDY;Colonie urbaine
GdG-N;29;COTES BIGOUDENN;penmarch;Colonie urbaine
GdG-N;29;COTES BIGOUDENN;plobannalec-lesconil;Colonie urbaine
GdG-N;29;COTES BIGOUDENN;PONT-L'ABBE;Colonie urbaine
GdG-N;29;COTES BIGOUDENN;Treffiagat;Colonie urbaine
GdG-N;29;RIVIERE DE L'ODET;Bénodet;Colonie urbaine
GdG-N;29;RIVIERE DE L'ODET;QUIMPER;Colonie urbaine
GdG-N;44;LOIRE EMBOUCHURE;Ville de La Baule;Colonie urbaine
GdG-N;44;LOIRE ESTUARIENNE;Ville de Saint-Nazaire;Colonie urbaine
GdG-N;44;PRESQU'ILE GUERANDAISE;PRESQU'ILE GUERANDAISE;Colonies urbaines
GdG-N;44;PRESQU'ILE GUERANDAISE;Ville de Guérande;Colonie urbaine
GdG-N;44;PRESQU'ILE GUERANDAISE;Ville de La Turballe;Colonie urbaine
GdG-N;44;PRESQU'ILE GUERANDAISE;Ville du Croisic;Colonie urbaine
GdG-N;56;GOLFE DU MORBIHAN;Agglomération Vannetaise;Colonie urbaine
GdG-N;56;PRESQU'ILE DE QUIBERON;Ville de QUIBERON;Colonies urbaines
GdG-N;56;RADE DE LORIENT;CAUDAN;Colonie urbaine
GdG-N;56;RADE DE LORIENT;HENNEBONT;Colonie urbaine
GdG-N;56;RADE DE LORIENT;LANESTER;Colonie urbaine
GdG-N;56;RADE DE LORIENT;LORIENT;Colonie urbaine
GdG-N;56;RADE DE LORIENT;RADE DE LORIENT;Colonies urbaines
GdG-N;85;ILE DE NOIRMOUTIER;ILE DE NOIRMOUTIER;Colonies urbaines
GdG-N;85;LITTORAL VENDEEN - 2;Fenouiller (Le);Agglomération St Gilles/St Hilaire
GdG-N;85;LITTORAL VENDEEN - 2;Saint-Gilles-Croix-de-Vie;Colonie urbaine
GdG-N;85;LITTORAL VENDEEN - 2;Saint-Hilaire-de-Riez;Colonie urbaine
GdG-N;85;LITTORAL VENDEEN - 3;Olonne-sur-Mer;Agglomération sablaise
GdG-N;85;LITTORAL VENDEEN - 3;Sables-d'Olonne (Les);Agglomération sablaise
MC;22;BAIE DE SAINT BRIEUC;langueux;Colonie urbaine
MC;22;BAIE DE SAINT BRIEUC;pleneuf-val-andre;Colonie urbaine
MC;22;BAIE DE SAINT BRIEUC;Saint Brieuc;Colonie urbaine
MC;22;COTE DU GOELO - Anse de Paimpol;Ville de Paimpol;Colonie urbaine
MC;22;ROCHES DE SAINT QUAY - Ville de Saint-Quay-Portrieux;Ville de Saint-Quay-Portrieux;Colonie urbaine
MC;22;ROCHES DE SAINT QUAY - Ville d'Etables-sur-mer;Ville d'Etables-sur-mer;Colonie urbaine
MC;29;AULNE ESTUARIENNE;ecole navale lanveoc;Colonie urbaine
MC;29;BAIE DE MORLAIX;MORLAIX;Colonie urbaine
MC;29;BAIE DE MORLAIX;SAINT-MARTIN-DES-CHAMPS;Colonie urbaine
MC;29;CAP SIZUN;DOUARNENEZ;Colonie urbaine
MC;29;ILE DE BATZ;Centre H;Colonie urbaine
MC;29;ILE DE BATZ;ROSCOFF;Colonie urbaine
MC;29;POINTE SAINT MATHIEU;LE CONQUET;Colonie urbaine
MC;29;RADE DE BREST;BREST;Colonie urbaine
