Espèce;NomLatin;Class;Age;Survie;Fecund
Pingouin torda;Alca torda;Juv;0;0.63;0
Pingouin torda;Alca torda;Imm;1;0.63;0
Pingouin torda;Alca torda;Imm;2;0.63;0
Pingouin torda;Alca torda;Imm;3;0.941;0
Pingouin torda;Alca torda;Adu;>3;0.927;0.543
Guifette noire;Chlidonias niger;Juv;0;0.44;0
Guifette noire;Chlidonias niger;Imm;1;0.595;0
Guifette noire;Chlidonias niger;Adu;>1;0.849;0.565
Mouette rieuse;Chroicocephalus ridibundus;Juv;0;0.213;0
Mouette rieuse;Chroicocephalus ridibundus;Imm;1;0.59;0
Mouette rieuse;Chroicocephalus ridibundus;Sub;2;0.9;0.135
Mouette rieuse;Chroicocephalus ridibundus;Sub;3;0.9;0.344
Mouette rieuse;Chroicocephalus ridibundus;Sub;4;0.9;0.468
Mouette rieuse;Chroicocephalus ridibundus;Adu;>4;0.87;0.564
Macareux moine;Fratercula arctica;Juv;0;0.7445;0
Macareux moine;Fratercula arctica;Imm;1;0.783;0
Macareux moine;Fratercula arctica;Imm;2;0.783;0
Macareux moine;Fratercula arctica;Sub;3;0.776;0.007
Macareux moine;Fratercula arctica;Sub;4;0.776;0.086
Macareux moine;Fratercula arctica;Sub;5;0.757;0.25
Macareux moine;Fratercula arctica;Sub;6;0.773;0.4
Macareux moine;Fratercula arctica;Adu;>6;0.9;0.714
Fulmar boréal;Fulmarus glacialis;Juv;0;0.26;0
Fulmar boréal;Fulmarus glacialis;Imm;1;0.88;0
Fulmar boréal;Fulmarus glacialis;Imm;2;0.88;0
Fulmar boréal;Fulmarus glacialis;Imm;3;0.88;0
Fulmar boréal;Fulmarus glacialis;Imm;4;0.88;0
Fulmar boréal;Fulmarus glacialis;Sub;5;0.88;0.008
Fulmar boréal;Fulmarus glacialis;Sub;6;0.88;0.034
Fulmar boréal;Fulmarus glacialis;Sub;7;0.88;0.091
Fulmar boréal;Fulmarus glacialis;Sub;8;0.88;0.144
Fulmar boréal;Fulmarus glacialis;Sub;9;0.88;0.17
Fulmar boréal;Fulmarus glacialis;Sub;10;0.934;0.215
Fulmar boréal;Fulmarus glacialis;Sub;11;0.934;0.246
Fulmar boréal;Fulmarus glacialis;Sub;12;0.934;0.287
Fulmar boréal;Fulmarus glacialis;Sub;13;0.934;0.31
Fulmar boréal;Fulmarus glacialis;Sub;14;0.934;0.329
Fulmar boréal;Fulmarus glacialis;Adu;>14;0.934;0.378
Océanite tempête;Hydrobates pelagicus;Juv;0;0.325;0
Océanite tempête;Hydrobates pelagicus;Imm;1;0.55;0
Océanite tempête;Hydrobates pelagicus;Imm;2;0.552;0
Océanite tempête;Hydrobates pelagicus;Sub;3;0.595;0.053
Océanite tempête;Hydrobates pelagicus;Sub;4;0.897;0.44
Océanite tempête;Hydrobates pelagicus;Adu;>4;0.896;0.478
Mouette mélanocéphale;Ichthyaetus melanocephalus;Juv;0;0.213;0
Mouette mélanocéphale;Ichthyaetus melanocephalus;Imm;1;0.55;0
Mouette mélanocéphale;Ichthyaetus melanocephalus;Adu;>1;0.84;0.595
Goéland argenté;Larus argentatus;Juv;0;0.629;0
Goéland argenté;Larus argentatus;Imm;1;0.72;0
Goéland argenté;Larus argentatus;Imm;2;0.881;0
Goéland argenté;Larus argentatus;Imm;3;0.918;0
Goéland argenté;Larus argentatus;Sub;4;0.918;0.317
Goéland argenté;Larus argentatus;Sub;5;0.918;0.69
Goéland argenté;Larus argentatus;Sub;6;0.918;0.857
