Option,Species,iter,Month,Estimate,Season,Site,Parc,Espece
Option 2,European Shag,1,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,1,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,1,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,1,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,1,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,1,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,1,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,1,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,1,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,1,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,1,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,1,12,0.0707810249573706,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,2,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,2,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,2,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,2,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,2,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,2,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,2,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,2,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,2,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,2,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,2,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,2,12,0.0470939405551401,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,3,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,3,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,3,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,3,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,3,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,3,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,3,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,3,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,3,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,3,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,3,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,3,12,0.0632916928216832,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,4,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,4,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,4,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,4,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,4,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,4,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,4,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,4,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,4,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,4,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,4,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,4,12,0.0597879369907742,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,5,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,5,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,5,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,5,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,5,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,5,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,5,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,5,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,5,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,5,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,5,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,5,12,0.00933864621171064,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,6,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,6,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,6,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,6,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,6,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,6,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,6,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,6,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,6,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,6,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,6,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,6,12,0.0265941158175393,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,7,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,7,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,7,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,7,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,7,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,7,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,7,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,7,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,7,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,7,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,7,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,7,12,0.27598104896067,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,8,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,8,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,8,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,8,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,8,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,8,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,8,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,8,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,8,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,8,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,8,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,8,12,0.0488548787488024,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,9,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,9,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,9,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,9,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,9,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,9,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,9,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,9,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,9,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,9,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,9,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,9,12,0.00900974157937904,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,10,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,10,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,10,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,10,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,10,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,10,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,10,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,10,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,10,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,10,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,10,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,10,12,0.0283119611554677,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,11,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,11,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,11,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,11,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,11,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,11,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,11,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,11,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,11,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,11,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,11,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,11,12,0.00954538378022189,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,12,0.0529905442014995,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
